date,sales
2009m1,81.3
2009m2,78.9
2009m3,93.8
2009m4,94
2009m5,97.8
2009m6,100.6
2009m7,99.6
2009m8,100.2
2009m9,98
2009m10,100.7
2009m11,103.9
2009m12,125.7
2010m1,93.1
2010m2,93.7
2010m3,104.3
2010m4,104.3
2010m5,111.3
2010m6,112
2010m7,106.6
2010m8,110.7
2010m9,103.9
2010m10,109.2
2010m11,113.3
2010m12,131.8
2011m1,98.8
2011m2,95.6
2011m3,110.2
2011m4,113.1
2011m5,120.3
2011m6,115
2011m7,115.5
2011m8,121.1
2011m9,114.2
2011m10,116.1
2011m11,118.6
2011m12,139.5
2012m1,105.6
2012m2,99.7
2012m3,114.2
2012m4,115.7
2012m5,125.4
2012m6,120.4
2012m7,120.7
2012m8,124.1
2012m9,124.4
2012m10,123.8
2012m11,121.4
2012m12,152.1
2013m1,106.4
2013m2,105.8
2013m3,120.4
2013m4,125.4
2013m5,129.1
2013m6,129
2013m7,129.3
2013m8,131.5
2013m9,124.5
2013m10,128.3
2013m11,126.9
2013m12,157.2
2014m1,113.6
2014m2,115
2014m3,131.6
2014m4,130.9
2014m5,136
2014m6,137.5
2014m7,134.1
2014m8,138.7
2014m9,131.9
2014m10,133.8
2014m11,140.2
2014m12,171
2015m1,122.5
2015m2,118.9
2015m3,141.3
2015m4,139.8
2015m5,150.3
2015m6,149
2015m7,144.6
2015m8,153
2015m9,144.1
2015m10,142.3
2015m11,148.8
2015m12,176.5
2016m1,132.6
2016m2,127.3
2016m3,148.3
2016m4,145
2016m5,154.1
2016m6,153.5
2016m7,148.9
2016m8,157.4
2016m9,145.6
2016m10,151.5
2016m11,156.1
2016m12,179.7
2017m1,130.9
2017m2,128.6
2017m3,149.3
2017m4,148.5
2017m5,159.8
2017m6,153.9
2017m7,154.6
2017m8,159.9
2017m9,146.7
2017m10,152.1
2017m11,155.6
2017m12,181
2018m1,142.1
2018m2,143.1
2018m3,154.7
2018m4,159.1
2018m5,165.8
2018m6,164.6
2018m7,166
2018m8,166.3
2018m9,160.6
2018m10,168.7
2018m11,167.2
2018m12,204.1
2019m1,148.4
2019m2,145
2019m3,164.6
2019m4,170.3
2019m5,176.1
2019m6,175.7
2019m7,177.7
2019m8,177.1
2019m9,171.1
2019m10,176.4
2019m11,180.9
2019m12,218.3
2020m1,154.6
2020m2,155.8
2020m3,184.2
2020m4,181.8
2020m5,187.2
2020m6,190.1
2020m7,185.8
2020m8,193.8
2020m9,185.9
2020m10,189.7
2020m11,194.7
2020m12,233.3
